Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
PB6SOO   PB6500Fl 2             757063650146,,,,,,,,,,,$12.24,,,,,$41.50,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSP  B6500Fl6            ASPEN FLAT 16,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500Fl 6             757063650153,,,,,,,,,,,$17.21,,,,,$58.35,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SS  PB6500F2             ASPENFLAT2,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500F2              757063650092,,,,,,,,,,,$3.44,,,,,$11.45,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSPB65     00F20            ASPEN FLAT 20,,,,,,,,,,,I,,,,,I,,,,,,,,,,,,,,,,,,,,,,,2,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500F20             757063650160,,,,,,,,,,,$21.83,,,,,$72.75,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SSPB6    SOOF4              ASPENFLAT4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500F4               757063650108,,,,,,,,,,,$4.59,,,,,$15.55,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SS  PB6SOOF6              ASPEN FLAT 6,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500F6              757063650115,,,,,,,,,,,$5.60,,,,,$18.65,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2,,,,,,,,,,0,,,0,,,,,,,
ss   SSPB65     00 F8              ASPEN FLAT 8,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500F8              757063650122,,,,,,,,,,,$7.79,,,,,$25.95,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,,,,,,,,,0,,,0,,,,,,,
ss   SSP  B6500FBIO         ASPEN FILBERT 10,,,,,,,,,,,I,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6SOOFBIO          757063650214,,,,,,,,,,,$10.79,,,,,$35.95,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSP   B650QF!312         ASPEN FILBERT 12,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6SOOFB12          757063650221,,,,,,,,,,,$14.03,,,,,$44.95,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss   SSPB65     00FB2           ASPEN FILBERT 2,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6SOOFB2            757063650177,,,,,,,,,,,$4.04,,,,,$13.45,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss   SSP  B6500FB4           ASPEN FILBERT 4,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6SOOFB4            757063650184,,,,,,,,,,,$5.21,,,,,$17.65,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,0,,,,,,,
ss   SSP   B6500FB6           ASPEN FILBERT 6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No,,,,,,,Yes,,,,,,,,,,,,,
PB6500   PB6500FB6             757063650191,,,,,,,,,,,$6.56,,,,,$21.85,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SSP  B6500FB8           ASPEN FILBERT 8,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No                     Yes,,,,,,,,,,,,,,,,,,,,
PB6500   PB6500FB8            757063650207,,,,,,,,,,,$8.39,,,,,$27.95,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2                                          0       0,,,,,,,,,,,,,,,,,,,,
ss   SSP  B6500L2              ASPEN LINER 2,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No                     Yes,,,,,,,,,,,,,,,,,,,,
PB6500   PB6500L2               757063650085,,,,,,,,,,,$3.05,,,,,$ 10.35,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2                                          0       0,,,,,,,,,,,,,,,,,,,,
ss   SSPB65     00R2             ASPEN ROUND 2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,No                     Yes,,,,,,,,,,,,,,,,,,,,
PB6500   PB6500R2               757063650252,,,,,,,,,,,$3.74,,,,,$12.45,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,2                                       0      0,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept         Ma_ufacturer                                    Location               Min   Max           Deleted             Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcode,,,,Cost,,,,Price         Unit     Tax           Supplier 1       Supplier 2                 QCom   QOH  Note        Multiplier          Fu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB6500R20           ASPEN ROUND 2/0 PB6500   PB6500R20            757063650245,,,,,,,,,,,$3.11,,$10.35,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,4,No 2,,,,,"Yes
0       0",,,,,,,,,,,,,,,,,
"ss   SS  PB6500R4             ASPEN ROUND 4
PB6500   PB6500R4             757063650269",,,,,,,,,,,$5.30,,$17.65,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,4,"No
3",,,,,"Yes
0      0",,,,,,,,,,,,,,,,,
ss   SS  PB6500R6             ASPEN ROUND 6 PB6500   PB6500R6             757063650276,,,,,,,,,,,$6.86,,$22.85,,,,,,,EA,,,Yes,,,,s,,,,,2,,,,,,0,,,4,"No
3",,,,,"Yes
0       0",,,,,,,,,,,,
"ss   SS  PB6500R8             ASPEN ROUND 8
PB6500   PB6500R8              757063650283",,,,,,,,,,,$8.39,,$27.95,,,,,,,EA,,,Yes,,,,s,,,,,2,,,,,,0,,,4,"No
2",,,,,"Yes
0       0",,,,,,,,,,,,
ss   SS  PB6500SFB4         ASPEN SHORT FILBER PB6500   PB6500SFB4          757063650290,,,,,,,,,,,$5.30,,$17.65,,,,,,,EA,,,Yes,,,,s,,,,,2,,,,,,0,,,4,"No
2",,,,,"Yes
0      0",,,,,,,,,,,,
ss   SS  PB9100                 PRINCETON CAMEL B PB9100   PB9100                   757063918444,,,,,,,,,,,$1.35,,$4.50,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
0",,,,,"Yes
8 / 09                             0      0",,,,,,,,,,,,
ss   SS  PB9104                  PRINCETON FLAT BRI PB9104   PB9104                   757063918475,,,,,,,,,,,$1.35,,$4.50,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
1",,,,,"Yes
8/ 09                               0       0",,,,,,,,,,,,
ss   SS  PB9117                  PRINCETON WIIlTE TA PB9117   PB9117                   757063918529,,,,,,,,,,,$2.03,,$6.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
0",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
ss   SS  PB9118                  PRINCETON BRUSH B PB9118   PB9118                   757063918536,,,,,,,,,,,$2.03,,$6.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
2",,,,,"Yes
8/09                             0      0",,,,,,,,,,,,
ss   SS  PB9130                  PRINCETON WHITE TA PB9130   PB9130                   757063918598,,,,,,,,,,,$4.49,,$14.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
l",,,,,"Yes
9/09                             0      0",,,,,,,,,,,,
ss   SS  PB9131                  PRINCETON BRUSH B PB9131   PB9131                   757063918604,,,,,,,,,,,$4.49,,$14.95,,,,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
1",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
ss   SS  PB9137                  PRINCE10N GOLD TA PB9137   PB9137                   757063918642,,,,,,,,,,,$4.49,,$14.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
0",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
"ss   SS  PB9140                  PRINCETON WlilTE TA
PB9140   PB9140                   757063918666",,,,,,,,,,,$5.09,,$16.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
0",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
ss   SS  PB9143                  PRINCE10N GOLD TA PB9143   PB9143                   757063918680,,,,,,,,,,,$5.09,,$16.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
0",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
"ss   SS  PB9144                  PRINCE10N WHITE TA
PB9144   PB9144                   757063918697",,,,,,,,,,,$5.09,,$16.95,,,,,,,EA,,,Yes,,,,ss,,,,,1,,,,,,0,,,2,"No
2",,,,,"Yes
8/09                           0      0",,,,,,,,,,,,
"ss   SSP   B9148                  PRINCE10N SABLE V
PB9148   PB9148                   757063918727",,,,,,,,,,,$5.09,,$16.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,2,"No
1",,,,,"Yes
4/12                             0      0",,,,,,,,,,,,
"ss   SS  PCCS11220           MOD POOOE OUTDOO                                                                                                                                                        2         No                     Yes
PCCSl     PCCS ll 220            028995112201                    $4.18                   $8.80      EA        Yes   ss                 0            1                                          0       0
ss   SS  PCCS l 1245           MOD POOOE HAROCO                                                                                                                                                         2         No                     Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCSl     PCCS11245            028995112454,,,,,,,,,,,$4.44,,$9.34,,,,,,,EA,,,Yes,,,,ss,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,
"ss   SSP   ISWPPBLU         FINELlNER MARKER B
PISWP     PlSWPPBLU          PISWPPBLU",,,,,,,,,,,$0.95,,$1.75,,,,,,,,,,Yes,,,,ss,,,,,"0
0",,,,,,,,,"0         No
3",,,,,,,,,,"Yes
0",,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 139 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID
Product ID   Alternate ID",,,,,"Description
Barcode                         Cost",,,,,,,,"Dept          Ma_ufacturer                                        Location                Min       Max            Deleted              Active
Price          Unit     Tax           Supplier I        Supplier2                   QCom   QOH      Note       Multiplier           Fix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKDP03                PA CLASSIC .3MM ME PKDPO    PKDP03                 038236033004,,,,,,,,,,$1.18,,,1,,,$3.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,4,,0,,"10         No        Yes
0     ds   811                      0       0",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKDP05                PA CLASSIC .5MM ME PKDPO    PKDPOS                 038236033028,,,,,,,,,,$I.IS,,,1,,,$3.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,4,,0,,"22        No        Yes
0     <b 8/1                        0      0",,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PKDP07                PA CLASSIC .7MM ME,,,,,,,,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,4,,22        No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,
PKDPO    PKDP07                 038236033042,,,,,,,,,,$l.l8,,,,,,$3.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0           0    ds 8/1                        0      0,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKDP09                PA CLASSIC .9MM ME,,,,,,,,,,l,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,10         No        Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds 8/1,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
13    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
8     ds  8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
8    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
5    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
16    ds !Ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
1    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
9     (.ls 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
10    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
IO    ds 8/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
"PKDPO    PKDP09                 038236033066
ss   SSPKER26               STAINLESS EARASER",,,,,,,,,,,$I.IS,,1,,,$3.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,5,,,,,,,,,,,,,,,,,,,,,,,
PKER2    PKER26                 038236032281,,,,,,,,,,,$0.44,,,,,$1.lO,,,,,,,Yes,,,,ss,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKML032H           PA.32HLEAD
PKMLO   PKML032H           038236033424",,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKML03B             PA.3B LEAD
PKMLO   PKML03B             038236033349",,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKML03H            PA.3 H LEAD
PKMLO   PKML03H             038236033400",,,,,,,,,,,$0.36,,l,,,$1.00,,,,EA,,,Yes,,,,s,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKML03HB          PA.3HBLEAD
PKMLO   PKML03HB           038236033363",,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKML052H           PA.5 2HLEAD
PKMLO   PKML052H           038236033547",,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKMLOSB             PA.SB LEAD
PKMLO   PKMLOSB              038236033622",,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPKMLOSH             PA.SH LEAD
PKMLO   PKMLOSH             038236033608",,,,,,,,,,,$0.40,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKMLOSHB          PA.S HB LEAD PKMLO   PKMLOSHB           038236033578,,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKML072H           PA.72HLEAD PKMLO   PKML072H           038236033820,,,,,,,,,,,$0.36,,1,,,$1.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,14,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKML07B             PA.7 B LEAD,,,,,,,,,,,,,l,,,,,,,,,,2          14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKMLO   PKML07B              038236033745,,,,,,,,,,,$0.36,,,,,$1.00,,,,EA,,,Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKML07H             PA .7 H LEAD,,,,,,,,,,,,,I,,,,,,,,,,2          14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKMLO   PKML07H             038236033806,,,,,,,,,,,$0.36,,,,,$1.00,,,,EA,,,Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKML07HB          PA.7HBLEAD,,,,,,,,,,,,,1,,,,,,,,,,2         14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No
8",,,ds   8/1,,,,Yes,,,0,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,ds 8/I,,,,,,,0,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,
PKMLO   PKML07HB           038236033769,,,,,,,,,,$0.36,,,,,$1.00,,,,,,,,Yes,,,ss,,,,,,,,,,,,,,0,,,8    ds 8/1,,,,,,,,,,0,,,0,,,,,,,,
ss   SSPKML092H           PA.9 2H LEAD,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,,No,,,,,,,Yes,,,,,,,,,,,,,,
PKMLO   PKML092H           038236034025,,,,,,,,,,$0.40,,,,,$1.00,,,,,EA,,,Yes,,,ss,,,,,,,,,,,,,,0,,,s   ds  8/  I,,,,,,,,,,0,,,0,,,,,,,,
ss   SSPKML09B             PA.9 B LEAD,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,,No,,,,,,,Yes,,,,,,,,,,,,,,
PKMLO   PKML09B              038236033943,,,,,,,,,,$0.36,,,,,$1.00,,,,,EA,,,Yes,,,ss,,,,,,,,,,,,,,0,,,s   ds  8/I,,,,,,,,,,0,,,0,,,,,,,,
Page 140 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID
Product ID   AlternateID",,,,,"Description
Barcode",,,,,Cost,,,"Dept          Ma_uf_cturer                                       Location                Min       Max           Deleted              Active
Price         Unit    Tax           Supplier 1       Supplier 2                 QCom   QOH   Note        Multiplier          Fis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPKML09H             PA.9HLEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,14         No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK.MLO   P KML09H               038236034001,,,,,,,,,,$0.36,,,$1.00,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,0          10    ds 8/1                          0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPKML09 HB          PA .9 HB LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,14        No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK.MLO   PKML09 HB           038236033967,,,,,,,,,,$0.40,,,$1.00,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,0            8    ds 8/1                          0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKRDP403             PACIFIC ARC RETRAC PKRDP   PKRDP403              038236033103,,,,,,,,,,$1.95,,,$4.15,,,,,,,,,,Yes,,,,"3          12         No       Yes
ss                 0            0    Reg pr                         0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKRDP40 5            PACIFIC ARC RETRAC PKRDP   PKRDP405              038236033127,,,,,,,,,,$1.85,,,$4.15,,,,,,,,,,Yes,,,,"3          12         No       Yes
ss                 0           0     Reg pr                         0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKRDP40 7            PACIFIC ARC RETRAC PKRDP   PKRDP407              038236033141,,,,,,,,,,$1.85,,,$4.15,,,,,,,EA,,,Yes,,,,"3          12         No       Yes
ss                 0            0                                         0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPKRDP409            PACIFIC ARC RETRAC PKRDP   PKRDP409             038236033165,,,,,,,,,,$1.85,,,$4.15,,,,,,,EA,,,Yes,,,,"3          12         No       Yes
ss                 0            l     Reg pr                         0       0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  KRDP60 3            PA PROF .3MMMECH,,,,,,,,,,,,,,,,,,,,,,,,,,,3          15         No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds 8/1,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds 8/1,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds 8/1,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds8/l,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/10,,,,,,,,0,,0,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
